Signal Legend:

Key        Signal Name

0        = DATA_8861_before[15..0]
1        = RAM0_add[7..0]
2        = RAM0_wdata[15..0]
3        = RAM1_add[3..0]
4        = RAM1_wdata[31..0]
5        = sample_cnt[12..0]
6        = sample_cntset[12..0]
7        = trigger[15..0]
8        = ADS8861:ADS8861_inst|data_reg[15..0]
9        = sm_cnt[9..0]
10       = soc_system:u0|soc_system_onchip_memory2_0:onchip_memory2_0|readdata2[15..0]
11       = soc_system:u0|soc_system_onchip_memory2_1:onchip_memory2_1|readdata2[31..0]
12       = ADS8861:ADS8861_inst|data[15..0]
13       = ADS8861:ADS8861_inst|cnt[4..0]
14       = RAM0_write

Data Table:

Signals-> 0     1   2     3  4         5   6   7   8      9   10    11  12    13 14 

sample

-805      -1586 175 -1586 2h 0000C350h 6   200 100 -742   516 F9CEh 100 -1062 4  1  
-804      -1062 176 -1062 2h 0000C350h 26  200 100 -744   516 FBDEh 100 -744  18 1  
-803      -1062 176 -1062 2h 0000C350h 46  200 100 -744   516 FBDAh 100 -744  18 1  
-802      -1062 176 -1062 2h 0000C350h 66  200 100 -744   516 FBDAh 100 -744  18 1  
-801      -1062 176 -1062 2h 0000C350h 86  200 100 -744   516 FBDAh 100 -744  18 1  
-800      -1062 176 -1062 2h 0000C350h 106 200 100 -744   516 FBDAh 100 -744  18 1  
-799      -1062 176 -1062 2h 0000C350h 126 200 100 -744   516 FBDAh 100 -744  18 1  
-798      -1062 176 -1062 2h 0000C350h 146 200 100 -744   516 FBDAh 100 -744  18 1  
-797      -1062 176 -1062 2h 0000C350h 166 200 100 -744   516 FBDAh 100 -744  17 1  
-796      -1062 176 -1062 2h 0000C350h 186 200 100 280    516 FBDAh 100 -744  11 1  
-795      -1062 176 -1062 2h 0000C350h 5   200 100 136    516 FBDAh 100 -744  4  1  
-794      -744  177 -744  2h 0000C350h 25  200 100 139    516 FBDAh 100 139   18 1  
-793      -744  177 -744  2h 0000C350h 45  200 100 139    516 FD18h 100 139   18 1  
-792      -744  177 -744  2h 0000C350h 65  200 100 139    516 FD18h 100 139   18 1  
-791      -744  177 -744  2h 0000C350h 85  200 100 139    516 FD18h 100 139   18 1  
-790      -744  177 -744  2h 0000C350h 105 200 100 139    516 FD18h 100 139   18 1  
